Night,fert,Year   ,Cross,Species,Clones
8/17/2022,43.90,Year 2 (2022),08x09 ,OFAV,Yes
8/17/2022,1.02,Year 2 (2022),08x12 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),08x13 ,OFAV,Yes
8/17/2022,92.41,Year 2 (2022),08x04 ,OFAV,Yes
8/17/2022,44.60,Year 2 (2022),09x12 ,OFAV,Yes
8/17/2022,85.67,Year 2 (2022),09x13 ,OFAV,Yes
8/17/2022,95.71,Year 2 (2022),04x09 ,OFAV,Yes
8/17/2022,0.35,Year 2 (2022),12x13 ,OFAV,Yes
8/17/2022,93.67,Year 2 (2022),12x04 ,OFAV,Yes
8/17/2022,94.88,Year 2 (2022),13x04 ,OFAV,Yes
